episode,frame_count,episode_reward,average_reward_last_100,epsilon,time_elapsed_seconds,speed_fps
1,178,1.0,1.0,0.9998398,33.532904386520386,5.3123329712137135
2,309,0.0,0.5,0.9997219,62.62499260902405,4.505597003971458
3,495,1.0,0.6666666666666666,0.9995545,37.60609817504883,4.947853777482105
4,636,0.0,0.5,0.9994276,67.82949161529541,4.666971239317628
5,819,1.0,0.6,0.9992629,109.965829372406,4.344390021924816
6,994,1.0,0.6666666666666666,0.9991054,152.31411933898926,4.2961002676868505
7,1234,3.0,1.0,0.9988894,209.25603365898127,4.215823513028874
8,1471,3.0,1.25,0.9986761,265.39804244041443,4.222270305352679
9,1645,1.0,1.2222222222222223,0.9985195,308.76580715179443,4.013540877319314
10,1805,1.0,1.2,0.9983755,349.3306312561035,3.945394927460209
11,2074,3.0,1.3636363636363635,0.9981334,52.67858171463013,5.108577584317708
12,2232,1.0,1.3333333333333333,0.9979912,88.15250945091248,4.455676403044157
13,2360,0.0,1.2307692307692308,0.997876,118.37111735343933,4.237868727678595
14,2535,1.0,1.2142857142857142,0.9977185,159.81267309188843,4.223918568913624
15,2668,0.0,1.1333333333333333,0.9975988,191.9559075832367,4.139323789675096
16,2803,0.0,1.0625,0.9974773,224.9723720550537,4.186088228203024
17,2937,0.0,1.0,0.9973567,254.8807692527771,4.482006649188461
18,3192,3.0,1.1111111111111112,0.9971272,305.6927785873413,5.019486474955175
19,3365,1.0,1.105263157894737,0.9969715,340.43097138404846,4.981686026242522
20,3501,0.0,1.05,0.9968491,375.8359456062317,3.84267626360717
21,3674,1.0,1.0476190476190477,0.9966934,422.73568987846375,3.7344901895253226
22,4032,5.0,1.2272727272727273,0.9963712,514.0833530426025,3.919565300098959
23,4243,2.0,1.2608695652173914,0.9961813,562.323165178299,4.375069103372693
24,4380,0.0,1.2083333333333333,0.996058,593.2932283878326,4.4255560019212075
25,4588,2.0,1.24,0.9958708,640.7713491916656,4.382165188408265
26,4728,0.0,1.1923076923076923,0.9957448,671.6378331184387,4.6033458354549825
27,4948,2.0,1.2222222222222223,0.9955468,720.6128089427948,4.493376195701675
28,5163,2.0,1.25,0.9953533,769.0277066230774,4.441607543354017
29,5294,0.0,1.206896551724138,0.9952354,798.7362697124481,4.4112818198969945
30,5485,2.0,1.2333333333333334,0.9950635,839.5382795333862,4.682468146442649
31,5672,1.0,1.2258064516129032,0.9948952,876.4442200660706,5.121244988488941
32,5807,0.0,1.1875,0.9947737,903.8080394268036,4.9364076557341
33,6023,2.0,1.2121212121212122,0.9945793,946.0581564903259,5.113863295839803
34,6249,2.0,1.2352941176470589,0.9943759,989.5463254451752,5.198130422223357
35,6403,0.0,1.2,0.9942373,1019.2857093811035,5.180500882442571
36,6631,2.0,1.2222222222222223,0.9940321,1063.7652397155762,5.174441906526267
37,6858,2.0,1.2432432432432432,0.9938278,1107.7908699512482,5.15725860199053
38,7065,2.0,1.263157894736842,0.9936415,1147.703211069107,5.18792468349866
39,7221,1.0,1.2564102564102564,0.9935011,1177.8027670383453,5.184874096410017
40,7354,0.0,1.225,0.9933814,1203.4246232509613,5.193110188578228
41,7561,2.0,1.2439024390243902,0.9931951,1252.7177276611328,4.254518967415404
42,7685,0.0,1.2142857142857142,0.9930835,1277.6330437660217,4.97946232682324
43,7917,2.0,1.2325581395348837,0.9928747,1328.7695333957672,4.538031207895873
44,8257,5.0,1.3181818181818181,0.9925687,1399.7582669258118,4.79030189297803
45,8544,4.0,1.3777777777777778,0.9923104,1477.0146894454956,3.715574230224644
46,8728,1.0,1.3695652173913044,0.9921448,1523.026218175888,4.039854056182323
47,8888,1.0,1.3617021276595744,0.9920008,1561.0922572612762,4.204771252436534
48,9195,4.0,1.4166666666666667,0.9917245,1634.478543996811,4.1840137656754095
49,9361,1.0,1.4081632653061225,0.9915751,1674.399132490158,4.159405758813733
50,9542,1.0,1.4,0.9914122,1717.232021331787,4.226718799884464
51,9731,1.0,1.392156862745098,0.9912421,1764.0123348236084,4.077352604888567
52,9908,1.0,1.3846153846153846,0.9910828,1805.5181877613068,4.265800405432488
53,10112,2.0,1.3962264150943395,0.9908992,1850.1716260910034,4.569649963114641
54,10240,0.0,1.3703703703703705,0.990784,1879.2487015724182,4.403762567295951
55,10365,0.0,1.3454545454545455,0.9906715,1910.1039941310883,4.052499207104933
56,10543,1.0,1.3392857142857142,0.9905113,1951.9349148273468,4.300076385084199
57,10778,2.0,1.3508771929824561,0.9902998,2006.3286108970642,4.321349998184059
58,11035,3.0,1.3793103448275863,0.9900685,2067.861623287201,4.177545362275703
59,11219,1.0,1.3728813559322033,0.9899029,2111.158592939377,4.250957176276047
60,11347,0.0,1.35,0.9897877,2141.960634469986,4.156751517099072
61,11510,1.0,1.3442622950819672,0.989641,2180.387683391571,4.2906135869134365
62,11723,2.0,1.3548387096774193,0.9894493,2227.02929854393,4.568258837395554
63,11856,0.0,1.3333333333333333,0.9893296,2258.0444695949554,4.29047017922795
64,11991,0.0,1.3125,0.9892081,2291.09872174263,4.085797122632288
65,12216,2.0,1.323076923076923,0.9890056,2343.37468457222,4.305170187787296
66,12425,2.0,1.3333333333333333,0.9888175,2392.8453011512756,4.263769205491002
67,12615,1.0,1.328358208955224,0.9886465,2437.243672847748,4.281073841081549
68,12879,3.0,1.3529411764705883,0.9884089,2497.670081138611,4.369753613176516
69,13007,0.0,1.3333333333333333,0.9882937,2527.1242525577545,4.347736539582544
70,13222,2.0,1.3428571428571427,0.9881002,2576.378106355667,4.366338804960165
